devices,date,time_slot,fbt
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-01,21:30-22:00,5.9
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-01,22:00-22:30,5.38
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-01,22:30-23:00,5.11
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-01,23:00-23:30,4.61
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-01,23:30-00:00,4.09
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-02,00:00-00:30,3.6
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-02,00:30-01:00,3.26
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-02,01:00-01:30,3.19
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-02,01:30-02:00,3.27
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-02,02:00-02:30,3.53
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-02,02:30-03:00,3.75
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-02,03:00-03:30,3.76
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-02,03:30-04:00,4.43
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-02,04:00-04:30,5.11
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-02,04:30-05:00,5.5
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-02,05:00-05:30,5.6
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-02,05:30-06:00,5.59
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-02,06:00-06:30,5.73
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-02,06:30-07:00,5.84
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-02,07:00-07:30,5.89
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-02,07:30-08:00,5.92
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-02,08:00-08:30,6.03
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-02,08:30-09:00,6.52
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-02,09:00-09:30,6.84
FG3_WUD_FBT_AD_Rosenheim_B15n_Sbg_H_agg1min_2023-01-01_bis_2024-01-01,2023-01-02,09:30-10:00,7.47
